openalex_id,keyword,text,publication_year,Piotr,Hanka,Jakub,Ondrej,hype_mean,hype_std,hype_median,n_ratings,cited_by_count
https://openalex.org/W2082671441,big data,Processing and Analytics of Big Data Streams with Yahoo!S4,2015,1.0,4,1,1,1.75,1.5,1.0,4,33
https://openalex.org/W2900717462,cryptocurrency,An analysis of cryptocurrencies conditional cross correlations,2019,2.0,1,2,1,1.5,0.5773502691896257,1.5,4,137
https://openalex.org/W3117755275,edge computing,Distributed and Dynamic Service Placement in Pervasive Edge Computing Networks,2020,1.0,1,2,1,1.25,0.5,1.0,4,150
