keyword,year,academic_count,academic_norm,wiki_raw,wiki_norm,gtrends_norm,public_norm
artificial general intelligence,2015,27,0.0557851239669421,,,0.0,0.0
artificial general intelligence,2016,31,0.0640495867768595,,,0.0,0.0
artificial general intelligence,2017,55,0.1136363636363636,,,0.0,0.0
artificial general intelligence,2018,110,0.2272727272727272,,,0.0,0.0
artificial general intelligence,2019,122,0.2520661157024793,,,0.0,0.0
artificial general intelligence,2020,211,0.4359504132231405,,,0.0,0.0
artificial general intelligence,2021,227,0.4690082644628099,,,0.0,0.0
artificial general intelligence,2022,256,0.5289256198347108,,,0.0,0.0
artificial general intelligence,2023,484,1.0,,,0.0,0.0
artificial general intelligence,2024,469,0.96900826446281,,,0.0,0.0
artificial general intelligence,2025,363,0.75,,,1.0,0.5
augmented reality,2015,567,0.384928716904277,328331.0,0.2960697587390044,0.5650793650793651,0.43057456190918475
augmented reality,2016,679,0.4609640190088255,1108965.0,1.0,0.7619047619047619,0.8809523809523809
augmented reality,2017,859,0.5831636116768499,1073057.0,0.9676202585293494,1.0,0.9838101292646747
augmented reality,2018,1139,0.7732518669382213,988707.0,0.8915583449432579,0.9333333333333333,0.9124458391382957
augmented reality,2019,1351,0.9171758316361168,951621.0,0.858116351733373,0.8539682539682539,0.8560423028508135
augmented reality,2020,1473,1.0,909587.0,0.8202125405220183,0.7873015873015873,0.8037570639118028
augmented reality,2021,1381,0.9375424304141208,846414.0,0.7632468112158635,0.6571428571428571,0.7101948341793602
augmented reality,2022,1201,0.8153428377460964,990213.0,0.8929163679647238,0.7746031746031746,0.8337597712839493
augmented reality,2023,884,0.6001357773251867,990930.0,0.8935629167737486,0.6698412698412698,0.7817020933075092
augmented reality,2024,402,0.2729124236252546,791464.0,0.7136961040249241,0.6444444444444444,0.6790702742346842
augmented reality,2025,24,0.0162932790224032,550849.0,0.496723521481742,0.7619047619047619,0.629314141693252
big data,2015,1149,0.801814375436148,839403.0,0.5374800382650611,0.9233610341643582,0.7304205362147096
big data,2016,1368,0.9546406140963016,1561738.0,1.0,0.9390581717451524,0.9695290858725762
big data,2017,1425,0.994417306350314,1492437.0,0.9556257195509106,1.0,0.9778128597754553
big data,2018,1433,1.0,1410442.0,0.9031233151783462,0.9307479224376731,0.9169356188080097
big data,2019,1320,0.9211444521981856,1248884.0,0.7996757458677448,0.9159741458910434,0.8578249458793941
big data,2020,1150,0.8025122121423587,1005222.0,0.6436559781474229,0.7774699907663897,0.7105629844569064
big data,2021,895,0.6245638520586183,864332.0,0.5534423827812347,0.7229916897506925,0.6382170362659636
big data,2022,586,0.4089323098394976,844386.0,0.5406707142939469,0.8614958448753463,0.7010832795846466
big data,2023,363,0.253314724354501,709098.0,0.45404414825021866,0.7691597414589104,0.6116019448545645
big data,2024,136,0.0949057920446615,500950.0,0.3207644303974162,0.6851338873499538,0.502949158873685
big data,2025,9,0.0062805303558967,350716.0,0.22456775720383315,0.9159741458910434,0.5702709515474382
blockchain,2015,37,0.0185277916875312,19076.0,0.00340821849474876,0.07,0.036704109247374384
blockchain,2016,160,0.0801201802704056,54777.0,0.009786746932630154,0.2168,0.11329337346631507
blockchain,2017,569,0.2849273910866299,4223894.0,0.7546631186128286,0.75,0.7523315593064144
blockchain,2018,1203,0.6024036054081122,5597059.0,1.0,1.0,1.0
blockchain,2019,1732,0.8673009514271407,2677504.0,0.47837694760766325,0.6332,0.5557884738038317
blockchain,2020,1997,1.0,1818568.0,0.3249149240699446,0.5268,0.4258574620349723
blockchain,2021,1848,0.9253880821231848,2719101.0,0.48580888641695574,0.91,0.6979044432084779
blockchain,2022,1435,0.7185778668002003,2098002.0,0.37484007225937765,0.8368000000000001,0.6058200361296888
blockchain,2023,787,0.3940911367050576,1178285.0,0.2105185955695661,0.5668,0.38865929778478303
blockchain,2024,229,0.114672008012018,1320494.0,0.23592640349154798,0.6431999999999999,0.4395632017457739
blockchain,2025,2,0.00100150225338,1178856.0,0.21062061343287608,0.7468,0.47871030671643805
chatbot,2015,18,0.0072963113092825,14263.0,0.011910806323925832,0.02855511136493432,0.020232958844430077
chatbot,2016,46,0.0186461289014997,143991.0,0.12024461287165424,0.058823529411764705,0.08953407114170947
chatbot,2017,167,0.0676935549250101,432024.0,0.36077642791051906,0.14448886350656764,0.2526326457085434
chatbot,2018,409,0.1657884069720308,434039.0,0.36245912262710817,0.18218161050828097,0.27232036656769454
chatbot,2019,676,0.2740170247263883,373078.0,0.3115515530896446,0.19874357509994287,0.2551475640947937
chatbot,2020,887,0.3595460072963113,333391.0,0.2784095653887651,0.22215876641918902,0.25028416590397706
chatbot,2021,1012,0.4102148358329955,296724.0,0.24778953205220278,0.20331239291833236,0.22555096248526757
chatbot,2022,1145,0.4641264693960276,319304.0,0.26664573388872004,0.2741290691033695,0.2703874014960448
chatbot,2023,2097,0.8500202675314147,846923.0,0.7072520384405971,0.7492861222158765,0.7282690803282368
chatbot,2024,2467,1.0,1197484.0,1.0,0.6527698458023986,0.8263849229011992
chatbot,2025,929,0.3765707336846372,633987.0,0.5294325435663441,1.0,0.764716271783172
cryptocurrency,2015,92,0.0593548387096774,189903.0,0.03281569225415015,0.0,0.016407846127075076
cryptocurrency,2016,123,0.0793548387096774,550022.0,0.09504511611197387,0.019226314570303448,0.05713571534113866
cryptocurrency,2017,270,0.1741935483870967,3168602.0,0.5475419983248536,0.4227472782024554,0.4851446382636545
cryptocurrency,2018,882,0.5690322580645162,3126000.0,0.5401802709092188,0.5925411165160991,0.566360693712659
cryptocurrency,2019,1244,0.8025806451612904,1742217.0,0.30105926137000844,0.19874913134120917,0.2499041963556088
cryptocurrency,2020,1207,0.7787096774193548,2390033.0,0.41300341440242255,0.22978920546675932,0.32139630993459095
cryptocurrency,2021,1206,0.7780645161290323,5786957.0,1.0,1.0,1.0
cryptocurrency,2022,1433,0.924516129032258,3357739.0,0.5802253239483204,0.47880472550382214,0.5295150247260713
cryptocurrency,2023,1550,1.0,2091997.0,0.36150208131838546,0.2219133657632615,0.29170772354082347
cryptocurrency,2024,1076,0.6941935483870968,2377107.0,0.41076977071023685,0.22399814686124622,0.31738395878574155
cryptocurrency,2025,380,0.2451612903225806,1975999.0,0.3414573496917292,0.44776465137827187,0.39461100053500053
edge computing,2015,12,0.0071005917159763,22057.0,0.048042010894778914,0.0,0.024021005447389457
edge computing,2016,92,0.0544378698224852,68085.0,0.14829488651090458,0.0,0.07414744325545229
edge computing,2017,345,0.2041420118343195,146531.0,0.3191569070328172,0.03225806451612903,0.1757074857744731
edge computing,2018,789,0.4668639053254438,255182.0,0.555807971353832,0.40322580645161293,0.4795168889027225
edge computing,2019,1319,0.7804733727810651,329554.0,0.717796475423583,0.40322580645161293,0.560511140937598
edge computing,2020,1564,0.9254437869822484,398044.0,0.8669734861767864,0.40322580645161293,0.6350996463141997
edge computing,2021,1690,1.0,459119.0,1.0,0.5,0.75
edge computing,2022,1638,0.9692307692307692,399970.0,0.8711684770179409,0.6048387096774194,0.7380035933476801
edge computing,2023,1340,0.7928994082840237,284036.0,0.6186544229273891,0.435483870967742,0.5270691469475656
edge computing,2024,856,0.506508875739645,272027.0,0.592497805579817,0.40322580645161293,0.49786180601571495
edge computing,2025,117,0.0692307692307692,204299.0,0.4449804952528647,1.0,0.7224902476264323
generative ai,2017,3,0.000648088139987,,,0.0,0.0
generative ai,2018,3,0.000648088139987,,,0.0,0.0
generative ai,2019,6,0.001296176279974,,,0.0,0.0
generative ai,2020,16,0.0034564700799308,,,0.0,0.0
generative ai,2021,22,0.0047526463599049,,,0.0,0.0
generative ai,2022,48,0.0103694102397926,,,0.005354752342704151,0.0026773761713520753
generative ai,2023,1812,0.3914452365521711,,,0.3132530120481928,0.1566265060240964
generative ai,2024,4629,1.0,,,0.4846050870147256,0.2423025435073628
generative ai,2025,2855,0.6167638798876647,,,1.0,0.5
metaverse,2015,8,0.0023121387283236,20034.0,0.0059914855947448145,0.0,0.0029957427973724073
metaverse,2016,11,0.003179190751445,48109.0,0.014387759832164235,0.0,0.0071938799160821175
metaverse,2017,9,0.0026011560693641,52113.0,0.015585219566683465,0.0045045045045045045,0.010044862035593984
metaverse,2018,9,0.0026011560693641,44064.0,0.013178038397066763,0.0022522522522522522,0.007715145324659507
metaverse,2019,9,0.0026011560693641,51447.0,0.015386041698753941,0.0,0.007693020849376971
metaverse,2020,20,0.0057803468208092,161998.0,0.048448072445715806,0.0,0.024224036222857903
metaverse,2021,182,0.0526011560693641,2298132.0,0.6872928408117246,0.46846846846846846,0.5778806546400965
metaverse,2022,1980,0.5722543352601156,3343745.0,1.0,1.0,1.0
metaverse,2023,3460,1.0,942241.0,0.2817921223059773,0.2798423423423423,0.2808172323241598
metaverse,2024,2893,0.8361271676300578,677186.0,0.20252321872630838,0.14470720720720717,0.17361521296675778
metaverse,2025,1287,0.3719653179190751,457794.0,0.13691055986625775,0.1306306306306306,0.13377059524844417
quantum computing,2015,227,0.1612215909090909,452986.0,0.3026787563728209,0.0525,0.17758937818641043
quantum computing,2016,273,0.1938920454545454,973874.0,0.6507286564790624,0.03125,0.3409893282395312
quantum computing,2017,300,0.2130681818181818,1118003.0,0.7470335896939041,0.115,0.43101679484695204
quantum computing,2018,446,0.3167613636363636,1231722.0,0.8230189965187527,0.125,0.4740094982593763
quantum computing,2019,579,0.4112215909090909,1448590.0,0.9679270875790965,0.135,0.5514635437895483
quantum computing,2020,780,0.5539772727272727,1133307.0,0.7572595032707689,0.125,0.4411297516353844
quantum computing,2021,1003,0.7123579545454546,1166041.0,0.7791318931704743,0.125,0.45206594658523713
quantum computing,2022,1121,0.7961647727272727,1178688.0,0.7875824374077068,0.14625,0.4669162187038534
quantum computing,2023,1408,1.0,1496590.0,1.0,0.24,0.62
quantum computing,2024,1290,0.9161931818181818,1358461.0,0.9077041808377712,0.3125,0.6101020904188856
quantum computing,2025,625,0.4438920454545454,1489890.0,0.9955231559745822,1.0,0.997761577987291
,2015,0,0.0,,,,0.0
,2016,0,0.0,,,,0.0
