buzzword,year,month,interest
big data,2022,2,11.0
big data,2022,3,11.0
big data,2022,4,11.0
big data,2022,5,10.0
big data,2022,6,9.0
big data,2022,7,8.0
big data,2022,8,8.0
big data,2022,9,10.0
big data,2022,10,10.0
big data,2022,11,9.0
big data,2022,12,8.0
big data,2023,1,9.0
big data,2023,2,9.0
big data,2023,3,8.0
big data,2023,4,8.0
big data,2023,5,9.0
big data,2023,6,9.0
big data,2023,7,9.0
big data,2023,8,8.0
big data,2023,9,9.0
big data,2023,10,9.0
big data,2023,11,8.0
big data,2023,12,7.0
big data,2024,1,8.0
big data,2024,2,8.0
big data,2024,3,8.0
big data,2024,4,8.0
big data,2024,5,8.0
big data,2024,6,7.0
big data,2024,7,6.0
big data,2024,8,7.0
big data,2024,9,8.0
big data,2024,10,8.0
big data,2024,11,7.0
big data,2024,12,6.0
quantum computing,2015,1,0.0
quantum computing,2015,2,0.0
quantum computing,2015,3,0.0
quantum computing,2015,4,0.0
quantum computing,2015,5,1.0
quantum computing,2015,6,0.0
quantum computing,2015,7,0.0
quantum computing,2015,8,0.0
quantum computing,2015,9,1.0
quantum computing,2015,10,1.0
quantum computing,2015,11,1.0
quantum computing,2015,12,1.0
quantum computing,2016,1,0.0
quantum computing,2016,2,0.0
quantum computing,2016,3,0.0
quantum computing,2016,4,1.0
quantum computing,2016,5,1.0
quantum computing,2016,6,0.0
quantum computing,2016,7,0.0
quantum computing,2016,8,0.0
quantum computing,2016,9,1.0
quantum computing,2016,10,0.0
quantum computing,2016,11,0.0
quantum computing,2016,12,0.0
quantum computing,2017,1,0.0
quantum computing,2017,2,1.0
quantum computing,2017,3,1.0
quantum computing,2017,4,1.0
quantum computing,2017,5,1.0
quantum computing,2017,6,1.0
quantum computing,2017,7,1.0
quantum computing,2017,8,1.0
quantum computing,2017,9,1.0
quantum computing,2017,10,1.0
quantum computing,2017,11,1.0
quantum computing,2017,12,1.0
quantum computing,2018,1,1.0
quantum computing,2018,2,1.0
quantum computing,2018,3,1.0
quantum computing,2018,4,1.0
quantum computing,2018,5,1.0
quantum computing,2018,6,1.0
quantum computing,2018,7,1.0
quantum computing,2018,8,1.0
quantum computing,2018,9,1.0
quantum computing,2018,10,1.0
quantum computing,2018,11,1.0
quantum computing,2018,12,1.0
quantum computing,2019,1,1.0
quantum computing,2019,2,1.0
quantum computing,2019,3,1.0
quantum computing,2019,4,1.0
quantum computing,2019,5,1.0
quantum computing,2019,6,1.0
quantum computing,2019,7,1.0
quantum computing,2019,8,1.0
quantum computing,2019,9,1.0
quantum computing,2019,10,2.0
quantum computing,2019,11,1.0
quantum computing,2019,12,1.0
quantum computing,2020,1,1.0
quantum computing,2020,2,1.0
quantum computing,2020,3,1.0
quantum computing,2020,4,1.0
quantum computing,2020,5,1.0
quantum computing,2020,6,1.0
quantum computing,2020,7,1.0
quantum computing,2020,8,1.0
quantum computing,2020,9,1.0
quantum computing,2020,10,1.0
quantum computing,2020,11,1.0
quantum computing,2020,12,1.0
quantum computing,2021,1,1.0
quantum computing,2021,2,1.0
quantum computing,2021,3,1.0
quantum computing,2021,4,1.0
quantum computing,2021,5,1.0
quantum computing,2021,6,1.0
quantum computing,2021,7,1.0
quantum computing,2021,8,1.0
quantum computing,2021,9,1.0
quantum computing,2021,10,1.0
quantum computing,2021,11,1.0
quantum computing,2021,12,1.0
quantum computing,2022,1,1.0
quantum computing,2022,2,1.0
quantum computing,2022,3,1.0
quantum computing,2022,4,1.0
quantum computing,2022,5,1.0
quantum computing,2022,6,1.0
quantum computing,2022,7,2.0
quantum computing,2022,8,1.0
quantum computing,2022,9,1.0
quantum computing,2022,10,1.0
quantum computing,2022,11,1.0
quantum computing,2022,12,1.0
quantum computing,2023,1,2.0
quantum computing,2023,2,2.0
quantum computing,2023,3,2.0
quantum computing,2023,4,1.0
quantum computing,2023,5,2.0
quantum computing,2023,6,2.0
quantum computing,2023,7,2.0
quantum computing,2023,8,2.0
quantum computing,2023,9,2.0
quantum computing,2023,10,2.0
quantum computing,2023,11,2.0
quantum computing,2023,12,2.0
quantum computing,2024,1,2.0
quantum computing,2024,2,2.0
quantum computing,2024,3,2.0
quantum computing,2024,4,2.0
quantum computing,2024,5,2.0
quantum computing,2024,6,2.0
quantum computing,2024,7,2.0
quantum computing,2024,8,2.0
quantum computing,2024,9,2.0
quantum computing,2024,10,2.0
quantum computing,2024,11,3.0
quantum computing,2024,12,7.0
artificial general intelligence,2015,1,0.0
artificial general intelligence,2015,2,0.0
artificial general intelligence,2015,3,0.0
artificial general intelligence,2015,4,0.0
artificial general intelligence,2015,5,0.0
artificial general intelligence,2015,6,0.0
artificial general intelligence,2015,7,0.0
artificial general intelligence,2015,8,0.0
artificial general intelligence,2015,9,0.0
artificial general intelligence,2015,10,0.0
artificial general intelligence,2015,11,0.0
artificial general intelligence,2015,12,0.0
artificial general intelligence,2016,1,0.0
artificial general intelligence,2016,2,0.0
artificial general intelligence,2016,3,0.0
artificial general intelligence,2016,4,0.0
artificial general intelligence,2016,5,0.0
artificial general intelligence,2016,6,0.0
artificial general intelligence,2016,7,0.0
artificial general intelligence,2016,8,0.0
artificial general intelligence,2016,9,0.0
artificial general intelligence,2016,10,0.0
artificial general intelligence,2016,11,0.0
artificial general intelligence,2016,12,0.0
artificial general intelligence,2017,1,0.0
artificial general intelligence,2017,2,0.0
artificial general intelligence,2017,3,0.0
artificial general intelligence,2017,4,0.0
artificial general intelligence,2017,5,0.0
artificial general intelligence,2017,6,0.0
artificial general intelligence,2017,7,0.0
artificial general intelligence,2017,8,0.0
artificial general intelligence,2017,9,0.0
artificial general intelligence,2017,10,0.0
artificial general intelligence,2017,11,0.0
artificial general intelligence,2017,12,0.0
artificial general intelligence,2018,1,0.0
artificial general intelligence,2018,2,0.0
artificial general intelligence,2018,3,0.0
artificial general intelligence,2018,4,0.0
artificial general intelligence,2018,5,0.0
artificial general intelligence,2018,6,0.0
artificial general intelligence,2018,7,0.0
artificial general intelligence,2018,8,0.0
artificial general intelligence,2018,9,0.0
artificial general intelligence,2018,10,0.0
artificial general intelligence,2018,11,0.0
artificial general intelligence,2018,12,0.0
artificial general intelligence,2019,1,0.0
artificial general intelligence,2019,2,0.0
artificial general intelligence,2019,3,0.0
artificial general intelligence,2019,4,0.0
artificial general intelligence,2019,5,0.0
artificial general intelligence,2019,6,0.0
artificial general intelligence,2019,7,0.0
artificial general intelligence,2019,8,0.0
artificial general intelligence,2019,9,0.0
artificial general intelligence,2019,10,0.0
artificial general intelligence,2019,11,0.0
artificial general intelligence,2019,12,0.0
artificial general intelligence,2020,1,0.0
artificial general intelligence,2020,2,0.0
artificial general intelligence,2020,3,0.0
artificial general intelligence,2020,4,0.0
artificial general intelligence,2020,5,0.0
artificial general intelligence,2020,6,0.0
artificial general intelligence,2020,7,0.0
artificial general intelligence,2020,8,0.0
artificial general intelligence,2020,9,0.0
artificial general intelligence,2020,10,0.0
artificial general intelligence,2020,11,0.0
artificial general intelligence,2020,12,0.0
artificial general intelligence,2021,1,0.0
artificial general intelligence,2021,2,0.0
artificial general intelligence,2021,3,0.0
artificial general intelligence,2021,4,0.0
artificial general intelligence,2021,5,0.0
artificial general intelligence,2021,6,0.0
artificial general intelligence,2021,7,0.0
artificial general intelligence,2021,8,0.0
artificial general intelligence,2021,9,0.0
artificial general intelligence,2021,10,0.0
artificial general intelligence,2021,11,0.0
artificial general intelligence,2021,12,0.0
artificial general intelligence,2022,1,0.0
artificial general intelligence,2022,2,0.0
artificial general intelligence,2022,3,0.0
artificial general intelligence,2022,4,0.0
artificial general intelligence,2022,5,0.0
artificial general intelligence,2022,6,0.0
artificial general intelligence,2022,7,0.0
artificial general intelligence,2022,8,0.0
artificial general intelligence,2022,9,0.0
artificial general intelligence,2022,10,0.0
artificial general intelligence,2022,11,0.0
artificial general intelligence,2022,12,0.0
artificial general intelligence,2023,1,0.0
artificial general intelligence,2023,2,0.0
artificial general intelligence,2023,3,0.0
artificial general intelligence,2023,4,0.0
