buzzword,year,month,interest
generative ai,2019,10,0.0
generative ai,2019,11,0.0
generative ai,2019,12,0.0
generative ai,2020,1,0.0
generative ai,2020,2,0.0
generative ai,2020,3,0.0
generative ai,2020,4,0.0
generative ai,2020,5,0.0
generative ai,2020,6,0.0
generative ai,2020,7,0.0
generative ai,2020,8,0.0
generative ai,2020,9,0.0
generative ai,2020,10,0.0
generative ai,2020,11,0.0
generative ai,2020,12,0.0
generative ai,2021,1,0.0
generative ai,2021,2,0.0
generative ai,2021,3,0.0
generative ai,2021,4,0.0
generative ai,2021,5,0.0
generative ai,2021,6,0.0
generative ai,2021,7,0.0
generative ai,2021,8,0.0
generative ai,2021,9,0.0
generative ai,2021,10,0.0
generative ai,2021,11,0.0
generative ai,2021,12,0.0
generative ai,2022,1,0.0
generative ai,2022,2,0.0
generative ai,2022,3,0.0
generative ai,2022,4,0.0
generative ai,2022,5,0.0
generative ai,2022,6,0.0
generative ai,2022,7,0.0
generative ai,2022,8,0.0
generative ai,2022,9,0.0
generative ai,2022,10,0.0
generative ai,2022,11,0.5065040650406504
generative ai,2022,12,0.5065040650406504
generative ai,2023,1,0.5065040650406504
generative ai,2023,2,1.5195121951219512
generative ai,2023,3,2.026016260162601
generative ai,2023,4,2.532520325203252
generative ai,2023,5,4.558536585365854
generative ai,2023,6,7.597560975609755
generative ai,2023,7,6.584552845528455
generative ai,2023,8,6.584552845528455
generative ai,2023,9,6.584552845528455
generative ai,2023,10,6.584552845528455
generative ai,2023,11,6.078048780487805
generative ai,2023,12,6.078048780487805
generative ai,2024,1,7.0910569105691055
generative ai,2024,2,8.104065040650406
generative ai,2024,3,7.597560975609755
generative ai,2024,4,7.597560975609755
generative ai,2024,5,7.597560975609755
generative ai,2024,6,8.104065040650406
generative ai,2024,7,8.104065040650406
generative ai,2024,8,6.584552845528455
generative ai,2024,9,6.584552845528455
generative ai,2024,10,7.0910569105691055
generative ai,2024,11,6.584552845528455
generative ai,2024,12,6.584552845528455
chatbot,2015,1,0.5065040650406504
chatbot,2015,2,0.5065040650406504
chatbot,2015,3,0.5065040650406504
chatbot,2015,4,0.5065040650406504
chatbot,2015,5,0.5065040650406504
chatbot,2015,6,0.5065040650406504
chatbot,2015,7,0.5065040650406504
chatbot,2015,8,0.5065040650406504
chatbot,2015,9,0.5065040650406504
chatbot,2015,10,0.5065040650406504
chatbot,2015,11,0.5065040650406504
chatbot,2015,12,0.5065040650406504
chatbot,2016,1,0.5065040650406504
chatbot,2016,2,0.5065040650406504
chatbot,2016,3,1.0130081300813008
chatbot,2016,4,1.0130081300813008
chatbot,2016,5,1.0130081300813008
chatbot,2016,6,1.0130081300813008
chatbot,2016,7,1.0130081300813008
chatbot,2016,8,1.0130081300813008
chatbot,2016,9,1.0130081300813008
chatbot,2016,10,1.5195121951219512
chatbot,2016,11,1.5195121951219512
chatbot,2016,12,1.5195121951219512
chatbot,2017,1,1.5195121951219512
chatbot,2017,2,2.026016260162601
chatbot,2017,3,2.532520325203252
chatbot,2017,4,2.026016260162601
chatbot,2017,5,2.532520325203252
chatbot,2017,6,2.532520325203252
chatbot,2017,7,2.532520325203252
chatbot,2017,8,3.0390243902439025
chatbot,2017,9,3.0390243902439025
chatbot,2017,10,3.0390243902439025
chatbot,2017,11,3.0390243902439025
chatbot,2017,12,3.0390243902439025
chatbot,2018,1,3.5455284552845527
chatbot,2018,2,3.5455284552845527
chatbot,2018,3,3.5455284552845527
chatbot,2018,4,3.0390243902439025
chatbot,2018,5,3.0390243902439025
chatbot,2018,6,3.0390243902439025
chatbot,2018,7,3.0390243902439025
chatbot,2018,8,3.0390243902439025
chatbot,2018,9,3.5455284552845527
chatbot,2018,10,3.5455284552845527
chatbot,2018,11,3.0390243902439025
chatbot,2018,12,2.532520325203252
chatbot,2019,1,3.0390243902439025
chatbot,2019,2,3.5455284552845527
chatbot,2019,3,3.5455284552845527
chatbot,2019,4,3.5455284552845527
chatbot,2019,5,3.5455284552845527
chatbot,2019,6,3.5455284552845527
chatbot,2019,7,3.5455284552845527
chatbot,2019,8,3.5455284552845527
chatbot,2019,9,3.5455284552845527
chatbot,2019,10,3.5455284552845527
chatbot,2019,11,3.5455284552845527
chatbot,2019,12,3.5455284552845527
chatbot,2020,1,4.052032520325203
chatbot,2020,2,4.052032520325203
chatbot,2020,3,4.052032520325203
chatbot,2020,4,4.052032520325203
chatbot,2020,5,4.052032520325203
chatbot,2020,6,4.558536585365854
chatbot,2020,7,4.052032520325203
chatbot,2020,8,4.052032520325203
chatbot,2020,9,4.052032520325203
chatbot,2020,10,3.5455284552845527
chatbot,2020,11,3.5455284552845527
chatbot,2020,12,3.0390243902439025
chatbot,2021,1,3.5455284552845527
chatbot,2021,2,3.5455284552845527
chatbot,2021,3,3.5455284552845527
chatbot,2021,4,3.5455284552845527
chatbot,2021,5,3.5455284552845527
chatbot,2021,6,3.5455284552845527
chatbot,2021,7,3.5455284552845527
chatbot,2021,8,3.5455284552845527
chatbot,2021,9,3.5455284552845527
chatbot,2021,10,3.5455284552845527
chatbot,2021,11,3.5455284552845527
chatbot,2021,12,3.5455284552845527
chatbot,2022,1,4.052032520325203
chatbot,2022,2,4.052032520325203
chatbot,2022,3,4.558536585365854
chatbot,2022,4,4.558536585365854
chatbot,2022,5,4.052032520325203
chatbot,2022,6,4.558536585365854
chatbot,2022,7,4.052032520325203
chatbot,2022,8,4.052032520325203
chatbot,2022,9,4.052032520325203
chatbot,2022,10,3.5455284552845527
chatbot,2022,11,4.052032520325203
chatbot,2022,12,11.649593495934958
chatbot,2023,1,15.701626016260162
chatbot,2023,2,21.27317073170732
chatbot,2023,3,16.714634146341464
chatbot,2023,4,15.19512195121951
chatbot,2023,5,14.68861788617886
chatbot,2023,6,12.15609756097561
chatbot,2023,7,12.15609756097561
chatbot,2023,8,10.130081300813009
chatbot,2023,9,11.143089430894308
chatbot,2023,10,11.143089430894308
chatbot,2023,11,11.649593495934958
chatbot,2023,12,9.623577235772355
chatbot,2024,1,10.63658536585366
chatbot,2024,2,11.649593495934958
chatbot,2024,3,11.143089430894308
chatbot,2024,4,11.649593495934958
chatbot,2024,5,11.649593495934958
chatbot,2024,6,11.143089430894308
chatbot,2024,7,10.63658536585366
chatbot,2024,8,11.143089430894308
chatbot,2024,9,10.63658536585366
chatbot,2024,10,12.15609756097561
chatbot,2024,11,12.66260162601626
chatbot,2024,12,12.15609756097561
augmented reality,2015,1,2.026016260162601
augmented reality,2015,2,2.026016260162601
augmented reality,2015,3,2.026016260162601
augmented reality,2015,4,2.026016260162601
augmented reality,2015,5,2.026016260162601
augmented reality,2015,6,1.5195121951219512
augmented reality,2015,7,1.5195121951219512
augmented reality,2015,8,1.5195121951219512
augmented reality,2015,9,2.026016260162601
augmented reality,2015,10,2.026016260162601
augmented reality,2015,11,2.026016260162601
augmented reality,2015,12,1.5195121951219512
augmented reality,2016,1,1.5195121951219512
augmented reality,2016,2,2.026016260162601
augmented reality,2016,3,2.026016260162601
augmented reality,2016,4,2.026016260162601
augmented reality,2016,5,2.026016260162601
augmented reality,2016,6,2.026016260162601
augmented reality,2016,7,4.052032520325203
augmented reality,2016,8,3.0390243902439025
augmented reality,2016,9,2.532520325203252
augmented reality,2016,10,2.532520325203252
augmented reality,2016,11,2.532520325203252
augmented reality,2016,12,2.532520325203252
augmented reality,2017,1,2.532520325203252
augmented reality,2017,2,2.532520325203252
augmented reality,2017,3,3.0390243902439025
augmented reality,2017,4,3.0390243902439025
augmented reality,2017,5,2.532520325203252
augmented reality,2017,6,3.0390243902439025
augmented reality,2017,7,2.532520325203252
augmented reality,2017,8,2.532520325203252
augmented reality,2017,9,5.065040650406504
augmented reality,2017,10,4.052032520325203
augmented reality,2017,11,4.052032520325203
augmented reality,2017,12,3.5455284552845527
augmented reality,2018,1,3.5455284552845527
augmented reality,2018,2,3.5455284552845527
augmented reality,2018,3,3.0390243902439025
augmented reality,2018,4,3.0390243902439025
augmented reality,2018,5,3.0390243902439025
augmented reality,2018,6,2.532520325203252
augmented reality,2018,7,2.532520325203252
augmented reality,2018,8,2.532520325203252
augmented reality,2018,9,3.0390243902439025
augmented reality,2018,10,3.0390243902439025
augmented reality,2018,11,3.0390243902439025
augmented reality,2018,12,2.532520325203252
augmented reality,2019,1,2.532520325203252
augmented reality,2019,2,3.0390243902439025
augmented reality,2019,3,3.0390243902439025
augmented reality,2019,4,2.532520325203252
augmented reality,2019,5,2.532520325203252
augmented reality,2019,6,2.532520325203252
augmented reality,2019,7,2.532520325203252
augmented reality,2019,8,2.532520325203252
augmented reality,2019,9,3.0390243902439025
augmented reality,2019,10,2.532520325203252
augmented reality,2019,11,3.0390243902439025
augmented reality,2019,12,2.532520325203252
augmented reality,2020,1,2.532520325203252
augmented reality,2020,2,2.532520325203252
augmented reality,2020,3,2.532520325203252
augmented reality,2020,4,2.532520325203252
augmented reality,2020,5,2.532520325203252
augmented reality,2020,6,2.532520325203252
augmented reality,2020,7,3.0390243902439025
augmented reality,2020,8,2.026016260162601
augmented reality,2020,9,2.532520325203252
augmented reality,2020,10,2.532520325203252
augmented reality,2020,11,2.026016260162601
augmented reality,2020,12,2.026016260162601
augmented reality,2021,1,2.026016260162601
augmented reality,2021,2,2.026016260162601
augmented reality,2021,3,2.026016260162601
augmented reality,2021,4,2.026016260162601
augmented reality,2021,5,2.026016260162601
augmented reality,2021,6,2.026016260162601
augmented reality,2021,7,2.026016260162601
augmented reality,2021,8,2.026016260162601
augmented reality,2021,9,2.026016260162601
augmented reality,2021,10,2.532520325203252
augmented reality,2021,11,2.532520325203252
augmented reality,2021,12,2.026016260162601
augmented reality,2022,1,2.532520325203252
augmented reality,2022,2,3.0390243902439025
augmented reality,2022,3,3.0390243902439025
augmented reality,2022,4,2.532520325203252
augmented reality,2022,5,2.532520325203252
augmented reality,2022,6,2.532520325203252
augmented reality,2022,7,2.026016260162601
augmented reality,2022,8,2.026016260162601
augmented reality,2022,9,2.532520325203252
augmented reality,2022,10,2.532520325203252
augmented reality,2022,11,2.532520325203252
augmented reality,2022,12,2.026016260162601
augmented reality,2023,1,2.026016260162601
augmented reality,2023,2,2.532520325203252
augmented reality,2023,3,2.026016260162601
augmented reality,2023,4,2.026016260162601
augmented reality,2023,5,2.026016260162601
augmented reality,2023,6,2.532520325203252
augmented reality,2023,7,2.026016260162601
augmented reality,2023,8,2.026016260162601
augmented reality,2023,9,2.026016260162601
augmented reality,2023,10,2.026016260162601
augmented reality,2023,11,2.026016260162601
augmented reality,2023,12,2.026016260162601
augmented reality,2024,1,2.026016260162601
augmented reality,2024,2,2.532520325203252
augmented reality,2024,3,2.532520325203252
augmented reality,2024,4,2.026016260162601
augmented reality,2024,5,2.026016260162601
augmented reality,2024,6,2.026016260162601
augmented reality,2024,7,2.026016260162601
augmented reality,2024,8,1.5195121951219512
augmented reality,2024,9,2.026016260162601
augmented reality,2024,10,2.026016260162601
augmented reality,2024,11,2.026016260162601
augmented reality,2024,12,1.5195121951219512
