keyword,publication_year,count,normalized_count
,2015,0,0.0
,2016,0,0.0
generative ai,2017,3,0.0006478082487583676
generative ai,2018,3,0.0006478082487583676
generative ai,2019,6,0.0012956164975167351
generative ai,2020,16,0.0034549773267112936
generative ai,2021,22,0.004750593824228029
generative ai,2022,48,0.010364931980133881
generative ai,2023,1819,0.3927877348304902
generative ai,2024,4631,1.0
generative ai,2025,2837,0.6126106672424962
